source_image_name,source_image_relative_path,source_image_absolute_path,model,runtime_seconds,output_json,sign_type,surface_condition,dirty_count,overall_readability,evidence,dirty_areas,error,sign_key,reference_image_name,reference_image_absolute_path,warning
noStop_clean_13.png,noStop_clean_13.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_13.png,gemma4:e2b-it-q4_K_M,11.305,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_clean_13.png.json,no_stop,not_clean,2,severely_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""paint_loss""}, {""location"": ""bottom_right"", ""type"": ""paint_loss""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_clean_158.png,noStop_clean_158.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_158.png,gemma4:e2b-it-q4_K_M,9.523,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_clean_158.png.json,no_stop,clean,0,not_affected,Image B is clean and matches the clean reference.,[],,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_clean_163.png,noStop_clean_163.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_163.png,gemma4:e2b-it-q4_K_M,7.367,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_clean_163.png.json,no_stop,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_clean_47.png,noStop_clean_47.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_47.png,gemma4:e2b-it-q4_K_M,8.364,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_clean_47.png.json,no_stop,clean,0,not_affected,Image B is clean and matches the clean reference.,[],,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_clean_61.png,noStop_clean_61.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_61.png,gemma4:e2b-it-q4_K_M,11.15,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_clean_61.png.json,no_stop,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""bottom_right"", ""type"": ""contamination""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_impurity_17.png,noStop_impurity_17.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_17.png,gemma4:e2b-it-q4_K_M,7.627,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_impurity_17.png.json,no_stop,not_clean,2,severely_affected,"Image B shows visible surface anomalies, specifically paint loss and discoloration on the sign.","[{""location"": ""bottom_right"", ""type"": ""paint_loss""}, {""location"": ""bottom_right"", ""type"": ""discoloration""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_impurity_189.png,noStop_impurity_189.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_189.png,gemma4:e2b-it-q4_K_M,7.474,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_impurity_189.png.json,no_stop,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_impurity_30.png,noStop_impurity_30.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_30.png,gemma4:e2b-it-q4_K_M,8.273,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_impurity_30.png.json,no_stop,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_impurity_40.png,noStop_impurity_40.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_40.png,gemma4:e2b-it-q4_K_M,8.731,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_impurity_40.png.json,no_stop,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
noStop_impurity_41.png,noStop_impurity_41.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_41.png,gemma4:e2b-it-q4_K_M,13.326,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\no stop\no_stop__noStop_impurity_41.png.json,no_stop,not_clean,2,severely_affected,Image B shows visible surface anomalies compared with the clean reference.,"[{""location"": ""center"", ""type"": ""contamination""}, {""location"": ""bottom_right"", ""type"": ""damage""}]",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png,
priorityRoad_clean_100.png,priorityRoad_clean_100.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_100.png,gemma4:e2b-it-q4_K_M,8.729,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_clean_100.png.json,priority,clean,0,not_affected,Image B is clean and matches the clean reference (Image A).,[],,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,
priorityRoad_clean_25.png,priorityRoad_clean_25.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_25.png,gemma4:e2b-it-q4_K_M,8.624,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_clean_25.png.json,priority,not_clean,1,partially_affected,"Two small, light-colored spots are visible on the yellow reflective surface of Image B, which are absent in the clean reference Image A.","[{""location"": ""center"", ""type"": ""contamination""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,Adjusted dirty_count from 2 to 1 to match dirty_areas.
priorityRoad_clean_55.png,priorityRoad_clean_55.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_55.png,gemma4:e2b-it-q4_K_M,9.266,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_clean_55.png.json,priority,not_clean,2,severely_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}, {""location"": ""center"", ""type"": ""damage""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,
priorityRoad_clean_58.png,priorityRoad_clean_58.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_58.png,gemma4:e2b-it-q4_K_M,8.411,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_clean_58.png.json,priority,not_clean,1,partially_affected,"Two small, light-colored spots are visible on the yellow center of the sign.","[{""location"": ""center"", ""type"": ""contamination""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,Adjusted dirty_count from 2 to 1 to match dirty_areas.
priorityRoad_clean_61.png,priorityRoad_clean_61.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_61.png,gemma4:e2b-it-q4_K_M,6.413,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_clean_61.png.json,priority,not_clean,1,partially_affected,Visible surface anomalies are present compared with the clean reference.,"[{""location"": ""center"", ""type"": ""contamination""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,Adjusted dirty_count from 2 to 1 to match dirty_areas.
priorityRoad_impurity_1.png,priorityRoad_impurity_1.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_1.png,gemma4:e2b-it-q4_K_M,8.455,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_impurity_1.png.json,priority,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,
priorityRoad_impurity_33.png,priorityRoad_impurity_33.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_33.png,gemma4:e2b-it-q4_K_M,7.732,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_impurity_33.png.json,priority,not_clean,1,partially_affected,Two visible surface anomalies are present compared with the clean reference.,"[{""location"": ""center"", ""type"": ""contamination""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,Adjusted dirty_count from 2 to 1 to match dirty_areas.
priorityRoad_impurity_43.png,priorityRoad_impurity_43.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_43.png,gemma4:e2b-it-q4_K_M,7.968,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_impurity_43.png.json,priority,not_clean,2,severely_affected,The sign in Image B has visible markings and potential contamination over the yellow reflective area.,"[{""location"": ""center"", ""type"": ""graffiti""}, {""location"": ""center"", ""type"": ""sticker""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,
priorityRoad_impurity_52.png,priorityRoad_impurity_52.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_52.png,gemma4:e2b-it-q4_K_M,8.343,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_impurity_52.png.json,priority,not_clean,2,severely_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}, {""location"": ""border"", ""type"": ""contamination""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,
priorityRoad_impurity_8.png,priorityRoad_impurity_8.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_8.png,gemma4:e2b-it-q4_K_M,8.818,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\priority\priority_road__priorityRoad_impurity_8.png.json,priority,not_clean,1,partially_affected,Image B shows significant discoloration and potential surface contamination compared to the clean reference Image A.,"[{""location"": ""center"", ""type"": ""discoloration""}]",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png,
speed30_clean_140.png,speed30_clean_140.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_140.png,gemma4:e2b-it-q4_K_M,14.654,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\speed limit 30\speed_limit_30__speed30_clean_140.png.json,speed_limit_30,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""discoloration""}]",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png,
speed30_clean_146.png,speed30_clean_146.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_146.png,gemma4:e2b-it-q4_K_M,11.535,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\speed limit 30\speed_limit_30__speed30_clean_146.png.json,speed_limit_30,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png,
speed30_clean_149.png,speed30_clean_149.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_149.png,gemma4:e2b-it-q4_K_M,10.193,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\speed limit 30\speed_limit_30__speed30_clean_149.png.json,speed_limit_30,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""discoloration""}]",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png,
speed30_clean_28.png,speed30_clean_28.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_28.png,gemma4:e2b-it-q4_K_M,10.217,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\speed limit 30\speed_limit_30__speed30_clean_28.png.json,speed_limit_30,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference Image A.,"[{""location"": ""center"", ""type"": ""contamination""}]",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png,
speed30_clean_30.png,speed30_clean_30.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_30.png,gemma4:e2b-it-q4_K_M,9.952,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\speed limit 30\speed_limit_30__speed30_clean_30.png.json,speed_limit_30,clean,0,not_affected,Image B is clean and matches the standard reference.,[],,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png,
speed30_impurity_174.png,speed30_impurity_174.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_impurity_174.png,gemma4:e2b-it-q4_K_M,8.253,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\speed limit 30\speed_limit_30__speed30_impurity_174.png.json,speed_limit_30,not_clean,3,severely_affected,"Image B shows visible surface anomalies, including discoloration and potential damage, compared to the clean reference in Image A.","[{""location"": ""border"", ""type"": ""discoloration""}, {""location"": ""center"", ""type"": ""discoloration""}, {""location"": ""border"", ""type"": ""damage""}]",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png,
speed30_impurity_197.png,speed30_impurity_197.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_impurity_197.png,gemma4:e2b-it-q4_K_M,8.888,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\improved\json\speed limit 30\speed_limit_30__speed30_impurity_197.png.json,speed_limit_30,not_clean,1,partially_affected,Image B shows visible surface anomalies compared with the clean reference.,"[{""location"": ""center"", ""type"": ""contamination""}]",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png,
