source_image_name,source_image_relative_path,source_image_absolute_path,model,runtime_seconds,output_json,readability,explanation,error,sign_key,reference_image_name,reference_image_absolute_path
noStop_clean_13.png,noStop_clean_13.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_13.png,gemma4:e2b-it-q4_K_M,4.14,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_clean_13.png.json,readable,"The sign is clear and fully visible, showing a red circle with a blue arrow pointing left, indicating a mandatory direction.",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_clean_158.png,noStop_clean_158.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_158.png,gemma4:e2b-it-q4_K_M,4.125,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_clean_158.png.json,readable,"The sign is clear and fully visible, showing a red circle with a blue diagonal cross and an arrow pointing left.",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_clean_163.png,noStop_clean_163.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_163.png,gemma4:e2b-it-q4_K_M,4.243,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_clean_163.png.json,readable,The sign is clearly visible and fully recognizable as a 'No Left Turn' sign.,,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_clean_47.png,noStop_clean_47.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_47.png,gemma4:e2b-it-q4_K_M,3.938,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_clean_47.png.json,readable,"The sign is clear, fully visible, and undamaged.",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_clean_61.png,noStop_clean_61.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_clean_61.png,gemma4:e2b-it-q4_K_M,4.215,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_clean_61.png.json,readable,The sign is clearly visible and fully recognizable as a prohibition sign (No Left Turn).,,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_impurity_17.png,noStop_impurity_17.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_17.png,gemma4:e2b-it-q4_K_M,4.27,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_impurity_17.png.json,readable,"The sign is clear and fully visible, indicating a prohibition of opposing traffic.",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_impurity_189.png,noStop_impurity_189.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_189.png,gemma4:e2b-it-q4_K_M,3.347,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_impurity_189.png.json,readable,The sign is clearly visible and fully recognizable.,,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_impurity_30.png,noStop_impurity_30.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_30.png,gemma4:e2b-it-q4_K_M,4.705,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_impurity_30.png.json,readable,The sign is clearly visible and fully recognizable as a 'No U-turn' sign.,,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_impurity_40.png,noStop_impurity_40.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_40.png,gemma4:e2b-it-q4_K_M,4.65,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_impurity_40.png.json,readable,"The sign is clear and fully visible, showing a standard 'No Turn' or 'No Right Turn' prohibition.",,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
noStop_impurity_41.png,noStop_impurity_41.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\31.5.2026\noStop_impurity_41.png,gemma4:e2b-it-q4_K_M,4.31,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\no stop\no_stop__noStop_impurity_41.png.json,readable,The sign is clearly visible and fully recognizable as a standard traffic sign.,,no_stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\NO_STOP\standard.png
priorityRoad_clean_100.png,priorityRoad_clean_100.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_100.png,gemma4:e2b-it-q4_K_M,3.839,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_clean_100.png.json,unclear,The image is heavily blurred and lacks sufficient detail to determine the sign's meaning or condition.,,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_clean_25.png,priorityRoad_clean_25.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_25.png,gemma4:e2b-it-q4_K_M,3.759,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_clean_25.png.json,unclear,"The image is a highly stylized, minimalist representation of a sign, lacking the necessary text or standard symbols to be assessed for readability.",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_clean_55.png,priorityRoad_clean_55.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_55.png,gemma4:e2b-it-q4_K_M,5.172,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_clean_55.png.json,unclear,The image is heavily blurred and lacks sufficient detail to determine the sign's meaning or condition.,,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_clean_58.png,priorityRoad_clean_58.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_58.png,gemma4:e2b-it-q4_K_M,4.33,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_clean_58.png.json,unclear,The image is heavily blurred and lacks sufficient detail to determine the sign's meaning or condition.,,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_clean_61.png,priorityRoad_clean_61.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_clean_61.png,gemma4:e2b-it-q4_K_M,3.53,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_clean_61.png.json,unclear,"The image is a highly stylized, simplified graphic of a sign, lacking the necessary text or standard symbols to be recognized as a readable traffic sign.",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_impurity_1.png,priorityRoad_impurity_1.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_1.png,gemma4:e2b-it-q4_K_M,5.89,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_impurity_1.png.json,unclear,The images provided are highly obscured and do not clearly show a recognizable traffic sign.,,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_impurity_33.png,priorityRoad_impurity_33.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_33.png,gemma4:e2b-it-q4_K_M,5.783,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_impurity_33.png.json,unclear,The image is heavily blurred and lacks sufficient detail to determine the sign's content or condition.,,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_impurity_43.png,priorityRoad_impurity_43.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_43.png,gemma4:e2b-it-q4_K_M,2.426,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_impurity_43.png.json,unreadable,"The sign is heavily obscured by a large, illegible handwritten marking, making the actual traffic sign content unreadable.",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_impurity_52.png,priorityRoad_impurity_52.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_52.png,gemma4:e2b-it-q4_K_M,5.199,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_impurity_52.png.json,unclear,"The image provided is a graphic representation of a sign, not a photograph of a physical sign. It lacks the necessary visual information (color, text, context) to assess readability.",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
priorityRoad_impurity_8.png,priorityRoad_impurity_8.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\31.5.2026\priorityRoad_impurity_8.png,gemma4:e2b-it-q4_K_M,4.453,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\priority\priority_road__priorityRoad_impurity_8.png.json,unclear,"The image is heavily blurred and dark, making the details of the sign illegible.",,priority_road,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\PRIORITY_ROAD\standard.png
speed30_clean_140.png,speed30_clean_140.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_140.png,gemma4:e2b-it-q4_K_M,4.602,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_clean_140.png.json,readable,"The sign is clear, fully visible, and easily recognizable.",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_clean_146.png,speed30_clean_146.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_146.png,gemma4:e2b-it-q4_K_M,4.408,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_clean_146.png.json,readable,The sign is clearly visible and fully legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_clean_149.png,speed30_clean_149.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_149.png,gemma4:e2b-it-q4_K_M,3.704,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_clean_149.png.json,readable,The sign is clearly visible and fully legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_clean_28.png,speed30_clean_28.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_28.png,gemma4:e2b-it-q4_K_M,2.227,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_clean_28.png.json,readable,The sign is clearly visible and fully legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_clean_30.png,speed30_clean_30.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_clean_30.png,gemma4:e2b-it-q4_K_M,4.321,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_clean_30.png.json,readable,The sign is clearly visible and fully legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_impurity_174.png,speed30_impurity_174.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_impurity_174.png,gemma4:e2b-it-q4_K_M,4.315,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_impurity_174.png.json,readable,The sign is clearly visible and legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_impurity_197.png,speed30_impurity_197.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_impurity_197.png,gemma4:e2b-it-q4_K_M,4.318,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_impurity_197.png.json,readable,The sign is clearly visible and fully legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_impurity_25.png,speed30_impurity_25.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_impurity_25.png,gemma4:e2b-it-q4_K_M,4.679,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_impurity_25.png.json,readable,The sign is clearly visible and fully legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_impurity_31.png,speed30_impurity_31.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_impurity_31.png,gemma4:e2b-it-q4_K_M,4.341,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_impurity_31.png.json,readable,"The sign is clear and fully legible, showing the number 30 inside a red circle.",,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
speed30_impurity_35.png,speed30_impurity_35.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\31.5.2026\speed30_impurity_35.png,gemma4:e2b-it-q4_K_M,4.286,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\speed limit 30\speed_limit_30__speed30_impurity_35.png.json,readable,The speed limit sign is clearly visible and fully legible.,,speed_limit_30,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\SPEED_LIMIT_30\standard.png
stop_clean_1.png,stop_clean_1.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\STOP\31.5.2026\stop_clean_1.png,gemma4:e2b-it-q4_K_M,4.176,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\stop\stop__stop_clean_1.png.json,readable,"The sign is clear, fully visible, and in good condition.",,stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\STOP\standard.png
stop_clean_106.png,stop_clean_106.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\STOP\31.5.2026\stop_clean_106.png,gemma4:e2b-it-q4_K_M,3.361,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\stop\stop__stop_clean_106.png.json,readable,The sign is clearly visible and fully legible.,,stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\STOP\standard.png
stop_clean_4.png,stop_clean_4.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\STOP\31.5.2026\stop_clean_4.png,gemma4:e2b-it-q4_K_M,3.466,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\results\task1_comparison\2026-06-02_full\baseline\json\stop\stop__stop_clean_4.png.json,readable,The sign is clearly visible and fully legible.,,stop,standard.png,D:\Automotive Systems课件\1.Semester\DACAITI\codex\DCAITI\data\data\Task1_sign_impurity\STOP\standard.png
